"Accession,EXP-Int-PS50,EXP-Int-Negative,CK1-¦Á-amylase,CK2-Pepsin,CK3-Mucin pH2,CK3-Pancreatin"
"A0A287B5W2,1,1,1,1,1,1"
"P09954,1,1,1,1,1,1"
"P00591,1,1,1,1,1,1"
"A0A5G2RJR8,1,1,1,1,1,1"
"A0A8D1Y1K2,1,1,1,1,1,1"
"I3LJ52,1,1,1,1,1,1"
"F1SGG3,1,1,1,1,1,1"
"I3LDS3,1,1,1,1,1,1"
"F1SUW2,1,1,1,1,1,1"
"P04416,1,1,1,1,1,1"
"P00592,1,1,1,1,1,1"
"F1S574,1,1,1,1,1,1"
"A0A5G2RJ62,1,1,1,1,1,1"
"P02703,1,1,1,1,1,1"
"F1SGG6,1,1,1,1,1,1"
"A0A5G2RFR0,1,1,1,1,1,1"
"A0A287AXN9,1,1,1,1,1,1"
"A0A5G2QIP4,1,1,1,1,1,1"
"A0A287BEI1,1,1,1,1,1,1"
"F1RW75,1,1,1,1,1,1"
"F6Q1W0,1,1,1,1,1,1"
"F1SGI7,1,1,1,1,1,1"
"A0A287BD64,1,1,1,1,1,1"
"A0A5G2QSE8,1,1,1,1,1,1"
"A0A8W4FD39,1,1,1,1,1,1"
"A0A287BHY5,1,1,1,1,1,1"
"Q6QAQ1,1,1,1,1,1,1"
"Q6S4N2,1,1,1,1,1,1"
"F1S4T6,1,1,1,1,1,1"
"Q8WNW3,1,1,1,1,1,1"
"P08419,1,1,1,1,1,1"
"I3LUM7,1,1,1,1,1,1"
"A0A8W4FMW6,1,1,1,1,1,1"
"A0A8W4FCQ5,1,1,1,1,0,1"
"P62802,1,1,1,1,0,1"
"F1S0K4,1,1,1,1,0,1"
"P02543,1,1,1,1,0,1"
"P68137,1,1,1,1,0,1"
"I3LTK9,1,1,1,1,0,1"
"A0A287B6S5,1,1,1,1,0,1"
"O02705,1,1,1,1,0,1"
"P02554,1,1,1,1,0,1"
"I3LCF8,1,1,1,1,0,1"
"F2Z5L5,1,1,1,1,0,1"
"F1RUE4,1,1,1,1,0,1"
"I3LUP6,1,1,1,1,0,1"
"K7GQZ4,1,1,1,1,0,1"
"P19620,1,1,1,1,0,1"
"A0A8X9AEM2,1,1,1,1,0,1"
"Q9MZ16,1,1,1,1,0,1"
"A0A5G2R318,1,1,1,1,0,1"
"C6L245,1,1,1,1,0,1"
"A0A4X1UTE2,1,1,1,1,0,1"
"P02067,1,1,1,1,0,1"
"P63053,1,1,1,1,0,1"
"A0A286ZUI3,1,1,1,1,0,1"
"A0A286ZIE8,1,1,1,1,0,1"
"P00355,1,1,1,0,0,1"
